Question,Answer
Q: Who should I contact if I have questions about medical devices or need more information?,"<div>
<p>A: Please contact the FDA’s Center for Devices and Radiological Health (CDRH)’s Division of Industry and Consumer Education (DICE) for <a href=""https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/contact-us-division-industry-and-consumer-education-dice"">general questions and information</a>.</p>
<p>If you need additional information completing the diagnostic EUA template or wish to consider use of an alternative specimen type, please contact the Division of Microbiology Devices at (301) 348-1778 or email <a href=""mailto:CDRH-EUA-Templates@fda.hhs.gov"">CDRH-EUA-Templates@fda.hhs.gov</a>.</p>
<p>If you have questions about the EUA for personal respiratory protective devices, including N95 respirators, please email <a href=""mailto:CDRH-NonDiagnosticEUA-Templates@fda.hhs.gov"">CDRH-NonDiagnosticEUA-Templates@fda.hhs.gov</a>.</p>
<p>
</p></div>"
Q: Will there be food shortages?,"<div>
<p>A: There are no nationwide shortages of food, although in some cases the inventory of certain foods at your grocery store might be temporarily low before stores can restock. Food production and manufacturing are widely dispersed throughout the U.S. and there are currently no widespread disruptions reported in the supply chain. </p>
<p>FDA is closely monitoring the food supply chain for any shortages in collaboration with industry and our federal and state partners. We are in regular contact with food manufacturers and grocery stores.</p>
<p>
</p></div>"
Q: Will there be animal food shortages?,"<div>
<p>A: There are no nationwide shortages of animal food, although in some cases the inventory of certain foods at your grocery store might be temporarily low before stores can restock. Animal food production and manufacturing are widely dispersed throughout the United States and no widespread disruptions have been reported in the supply chain.</p>
<p>
</p></div>"
Q: What are the most important things I need to know to keep myself and others safe when I go to the grocery store during the pandemic?,"<div>
<p>A: There are steps you can take to help protect yourself, grocery store workers and other shoppers, such as wearing a face covering, practicing social distancing, and using wipes on the handles of the shopping cart or basket. Read more tips in <a href=""https://www.fda.gov/food/food-safety-during-emergencies/shopping-food-during-covid-19-pandemic-information-consumers"">Shopping for Food During the COVID-19 Pandemic - Information for Consumers</a>.</p>
<p>
</p></div>"
Q: Are food products produced in the United States or other countries affected by COVID-19 a risk for the spread of COVID-19?,"<div>
<p>A: There is no evidence to suggest that food produced in the United States or imported from countries affected by COVID-19 can transmit COVID-19.</p>
<p>
</p></div>"
"Q: Can I get the coronavirus from food, food packaging, or food containers and preparation area?","<div>
<p>A: Currently there is no evidence of food, food containers, or food packaging being associated with transmission of COVID-19.  Like other viruses, it is possible that the virus that causes COVID-19 can survive on surfaces or objects. </p>
<p>If you are concerned about contamination of food or food packaging, wash your hands after handling food packaging, after removing food from the packaging, before you prepare food for eating and before you eat. Consumers can follow <a href=""https://www.cdc.gov/handwashing/"">CDC guidelines on frequent hand washing</a> with soap and water for at least 20 seconds; and frequently clean and disinfect surfaces.</p>
<p>It is critical to follow the 4 key steps of food safety—<a href=""https://www.foodsafety.gov/keep-food-safe/4-steps-to-food-safety"">clean, separate, cook, and chill</a>.</p>
<p>
</p></div>"
Q:  Is the U.S. food supply safe?,"<div>
<p>A: Currently there is no evidence of food or food packaging being associated with transmission of COVID-19.   </p>
<p>Unlike foodborne gastrointestinal (GI) viruses like norovirus and hepatitis A that often make people ill through contaminated food, SARS-CoV-2, which causes COVID-19, is a virus that causes respiratory illness and not gastrointestinal illness, and foodborne exposure to this virus is not known to be a route of transmission.</p>
<p>It may be possible that a person can get COVID-19 by touching a surface or object that has the virus on it and then touching their own mouth, nose, or possibly their eyes, but this is not thought to be the main way the virus spreads. It’s always important to follow the 4 key steps of food safety—<a href=""https://www.foodsafety.gov/keep-food-safe/4-steps-to-food-safety"">clean, separate, cook, and chill</a>.</p>
<p>
</p></div>"
Q: Is the U.S. animal food supply safe?,"<div>
<p>A: Currently there is no evidence of animal food or food packaging being associated with transmission of COVID-19.</p>
<p>SARS-CoV-2, which causes COVID-19, is a virus that causes respiratory illness. Foodborne exposure to this virus is not known to be a route of transmission.</p>
<p>
</p></div>"
Q: Can I get COVID-19 from a food worker handling my food?,"<div>
<p>A: Currently, there is no evidence of food or food packaging being associated with transmission of COVID-19. However, the virus that causes COVID-19 is spreading from person-to-person in some communities in the U.S. The CDC recommends that if you are sick, stay home until you are better and no longer pose a risk of infecting others. </p>
<p>Anyone handling, preparing and serving food should always follow <a href=""https://www.fda.gov/food/buy-store-serve-safe-food/safe-food-handling"">safe food handling procedures</a>, such as washing hands and surfaces often.</p>
<p>
</p></div>"
Q: Should food workers who are ill stay home? ,"<div>
<p>A: CDC recommends that employees who have symptoms of acute respiratory illness stay home and not come to work until they are free of fever (100.4° F [37.8° C] or greater using an oral thermometer), signs of a fever, and any other symptoms for at least 24 hours, without the use of fever-reducing or other symptom-altering medicines (e.g. cough suppressants). Employees should notify their supervisor and stay home if they are sick. We recommend that businesses review <a href=""https://www.cdc.gov/coronavirus/2019-ncov/community/guidance-business-response.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fcoronavirus%2F2019-ncov%2Fspecific-groups%2Fguidance-business-response.html"">CDC’s interim guidance for businesses and employers</a> for planning and responding to coronavirus disease.  Also see the FDA’s <a href=""https://www.fda.gov/food/retail-food-industryregulatory-assistance-training/retail-food-protection-employee-health-and-personal-hygiene-handbook"">Retail Food Protection: Employee Health and Personal Hygiene Handbook</a>.</p>
<p>
</p></div>"
"Q: Should food facilities (grocery stores, manufacturing facilities, restaurants, etc.) perform any special cleaning or sanitation procedures for COVID-19?","<div>
<p>A: CDC recommends routine cleaning of all frequently touched surfaces in the workplace, such as workstations, countertops, and doorknobs. Use the cleaning agents that are usually used in these areas and follow the directions on the label. CDC does not recommend any additional disinfection beyond routine cleaning at this time. </p>
<p>View the current <a href=""https://www.epa.gov/pesticide-registration/list-n-disinfectants-use-against-sars-cov-2"">list of products that meet EPA’s criteria for use against SARS-CoV-2</a>, the cause of COVID-19.  </p>
<p>Restaurants and retail food establishments are regulated at the state and local level. State, local, and tribal regulators use the <a href=""https://www.fda.gov/food/retail-food-protection/fda-food-code"">Food Code</a> published by the FDA to develop or update their own food safety rules. Generally, FDA-regulated food manufacturers are required to maintain clean facilities, including, as appropriate, clean and sanitized food contact surfaces, and to have food safety plans in place.   Food safety plans include a hazards analysis and risk-based preventive controls and include procedures for maintaining clean and sanitized facilities and food contact surfaces. See: <a href=""https://www.fda.gov/food/food-safety-modernization-act-fsma/fsma-final-rule-preventive-controls-human-food"">FSMA Final Rule for Preventive Controls for Human Food</a>.</p>
<p>
</p></div>"
Q: Can I get COVID-19 from my pet or other animals?,"<div>
<p>A: There is a very small number of animals around the world reported to be infected with the virus that causes COVID-19 after having contact with a person with COVID-19. There is currently no evidence that animals are a source of COVID-19 infection in the United States. </p>
<p>Until we learn more about how this virus affects animals, treat pets as you would other human family members to protect them from a potential infection.</p>
<ul><li>Do not let pets interact with people or other animals outside the household.</li>
<li>Keep cats indoors when possible to prevent them from interacting with other animals or people.</li>
<li>Walk dogs on a leash, maintaining at least 6 feet (2 meters) from other people and animals.</li>
<li>Avoid dog parks or public places where a large number of people and dogs gather.</li>
</ul><p>Talk to your veterinarian if your pet gets sick or if you have any concerns about your pet’s health.</p>
<p>
</p></div>"
"Q: Is there a test for COVID-19 in pets? If so, has it been approved by FDA?","<div>
<p>A: Certain veterinary diagnostic laboratories have developed diagnostic tests for SARS-CoV-2, the virus that causes COVID-19, for use in pets if needed. </p>
<p>Diagnostic tests for animals are regulated differently than those for humans. The FDA does not require approval or clearance of a 510(k), PMA, or any other pre-market submission for devices, including diagnostic tests, intended for animal use. The FDA does, however, have post-market regulatory oversight over devices intended for animal use and can take appropriate regulatory action if an animal device is misbranded or adulterated.</p>
<p>Certain private, state, and university veterinary diagnostic laboratories have developed diagnostic tests for SARS-CoV-2, the virus that causes COVID-19, for use in dogs and cats. The FDA is also aware of at least two veterinary tests for COVID-19 in pets developed by commercial laboratories initially for internal surveillance, but the agency has not evaluated the validity of these tests. The tests are not currently available for routine testing. The decision to test pets should be made collaboratively between local, state, or federal public and animal health officials.</p>
<p>
</p></div>"
Q: Should I get my pet tested for COVID-19?,"<div>
<p>A: Routine testing of pets for COVID-19 is not recommended at this time. There is currently no evidence that animals are a source of COVID-19 infection in the United States. Based on the limited information available to date, the risk of pets spreading the virus is considered to be low. If your pet is sick, consult your veterinarian. </p>
<p>Animal testing is <a href=""https://www.cdc.gov/coronavirus/2019-ncov/php/animal-testing.html"">reserved for situations when</a> the results may affect the treatment or management of people and animals. If your veterinarian thinks your pet is a candidate for testing, they will consult the state veterinarian and public health officials. Do not contact your state veterinarians directly: they do not have the client/patient-veterinarian relationship that would allow them to fully understand the situation and they are also actively involved in other animal disease-related emergencies as well as response to COVID-19.</p>
<p>
</p></div>"
Q: What animal species can get COVID-19?,"<div>
<p>A: We currently don’t fully understand how COVID-19 affects different animal species. We are aware of a very small number of pets, including dogs and cats, reported to be infected with the virus that causes COVID-19 after close contact with people with COVID-19. </p>
<p>On April 22, 2020, the United States Department of Agriculture (USDA) and the Centers for Disease Control and Prevention (CDC) announced the first confirmed cases of SARS-CoV-2 (the virus that causes COVID-19) infection in two pet cats. These are the first pets in the United States to test positive for SARS-CoV-2. The cats lived in two separate areas of New York state. Both had mild respiratory illness and are expected to make a full recovery. SARS-CoV-2 infections have been reported in very few animals worldwide, mostly in those that had close contact with a person with COVID-19. </p>
<p>A tiger at a zoo in New York has also tested positive for the virus; it was the first confirmed case of COVID-19 infection in an animal in the United States. </p>
<p>Recent research shows that ferrets, cats, and golden Syrian hamsters can be experimentally infected with the virus and can spread the infection to other animals of the same species in laboratory settings. Pigs, chickens, and ducks did not become infected or spread the infection based on results from these studies. Data from one study suggest that dogs are not as likely to become infected with the virus as cats and ferrets. These findings were based upon a small number of animals and do not indicate whether animals can spread infection to people.</p>
<p>
</p></div>"
"Q: Since domestic cats can get infected with the virus that causes COVID-19, should I worry about my cat?","<div>
<p>A: We are still learning about this virus and how it spreads, but it appears it can spread from humans to animals in some situations. FDA is aware of a very small number of pets, including cats, reported to be infected with the virus that causes COVID-19. The majority of these cases were linked to close contact with people who tested positive for COVID-19.</p>
<p>At this time, there is no evidence that pets, including cats and dogs, play a role in spreading COVID-19 to people. The virus that causes COVID-19 spreads mainly from person to person, typically through respiratory droplets from coughing, sneezing, or talking.</p>
<p>People sick with COVID-19 should isolate themselves from other people and animals, including pets, during their illness until we know more about how this virus affects animals. If you must care for your pet or be around animals while you are sick, wear a cloth face covering and wash your hands before and after you interact with pets.</p>
<p>
</p></div>"
Q: Why are animals being tested when many people can’t get tested?,"<div>
<p>A: The FDA, USDA and CDC recommend that any testing of animals should be conducted using kits not required when testing people. USDA’s National Veterinary Services Laboratories (NVSL) and the laboratories of the National Animal Health Laboratory Network (NAHLN) use tests developed for animal testing that are not used for testing in people. This avoids placing additional stresses on human testing resources while also recognizing the potential importance of animal testing to supporting public health. </p>
<p>Although animal and human tests are generally similar, this type of testing has to be adjusted in each species and for each sample type (blood, feces, nasal swab). Human and animal tests are not intended to be interchangeable. Some testing performed on animals is based on the published tests used in people, but animal testing is not likely to reduce the availability of tests for people if labs follow recommendations from FDA, USDA, and CDC that animal testing be conducted using tests developed for animals.</p>
<p>
</p></div>"
Q: Can pets carry the virus that causes COVID-19 on their skin or fur?,"<div>
<p>A: Although we know certain bacteria and fungi can be carried on fur and hair, there is no evidence that viruses, including the virus that causes COVID-19, can spread to people from the skin, fur, or hair of pets.</p>
<p>However, because animals can sometimes carry other germs that can make people sick, it’s always a good idea to practice <a href=""https://www.cdc.gov/healthypets/publications/stay-healthy-pets.html"">healthy habits</a> around pets and other animals, including washing hands before and after interacting with them and especially after cleaning up their waste.</p>
<p>
</p></div>"
Q: Are there any approved products that can prevent or treat COVID-19 in animals?,"<div>
<p>A: No. Under the Federal Food, Drug, and Cosmetic (FD&amp;C) Act, “articles intended for use in the diagnosis, cure, mitigation, treatment, or prevention of disease in man or other animals” are drugs. The FDA has not approved any drugs for the diagnosis, cure, mitigation, treatment, or prevention of COVID-19 in animals. The U.S. Department of Agriculture’s (USDA) Animal and Plant Health Inspection Service (APHIS) <a href=""https://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics"">Center for Veterinary Biologics (CVB)</a> regulates veterinary biologics, including vaccines, diagnostic kits, and other products of biological origin. Similarly, APHIS CVB has not licensed any products to treat or prevent COVID-19 in animals.</p>
<p>The FDA has taken action against unapproved products claiming to prevent or cure COVID-19. The public can help safeguard human and animal health by reporting any products claiming to do so to <a href=""mailto:FDA-COVID-19-Fraudulent-Products@fda.hhs.gov"">FDA-COVID-19-Fraudulent-Products@fda.hhs.gov</a> or 1-888-INFO-FDA (1-888-463-6332).</p>
<p>
</p></div>"
"Q: Is it true that animals, like dogs, cats, and cattle, get their own different types of coronavirus?","<div>
<p>A: Yes. Coronaviruses are a large family of viruses. Some coronaviruses like COVID-19 cause cold-like illnesses in people, while others cause illness in certain types of animals, such as cattle, camels, and bats. Some coronaviruses, such as canine and feline coronaviruses, only infect animals and do not infect humans. For example, bovine coronavirus causes diarrhea in young calves, and pregnant cows are routinely vaccinated to help prevent infection in calves. This vaccine is only licensed for use in cattle for bovine coronavirus and is not licensed to prevent COVID-19 in cattle or other species, including humans.</p>
<p>Dogs can get a respiratory coronavirus, which is part of the complex of viruses and bacteria associated with canine infectious respiratory disease, commonly known as “kennel cough.” While this virus is highly contagious among both domestic and wild dogs, it is not transmitted to other animal species or humans.</p>
<p>Most strains of feline enteric coronavirus, a gastrointestinal form, are fought off by a cat’s immune system without causing disease. However, in a small proportion of these cats, the virus can cause feline infectious peritonitis (FIP), a disease that is almost always fatal.</p>
<p>Other species, like horses, turkeys, chickens, and swine, can contract their own species-specific strains of coronavirus but, like the other strains mentioned above, they are not known to be transmissible to humans. More information is available in the American Veterinary Medical Association’s <a href=""https://www.avma.org/sites/default/files/2020-02/AVMA-Coronavirus-Taxonomy-Notes.pdf"">fact sheet about coronaviruses in domestic species</a>.</p>
<p>
</p></div>"
"Q: If my pet previously had a species-specific coronavirus, does that make them more or less likely to get COVID-19?","<div>
<p>A: There are no data to suggest that current or previous infection with another strain of coronavirus would make your pet more or less likely to get COVID-19.</p>
<p>
</p></div>"
"Q: If my pet has been vaccinated for species-specific coronavirus, does that make them more or less likely to get COVID-19?","<div>
<p>A: Species-specific coronavirus vaccines are unlikely to work against this type of coronavirus because it is a new virus that is different from the species-specific strains of coronavirus targeted by the vaccine.</p>
<p>
</p></div>"
Q: My pet has health problems and goes to the vet regularly for treatment. Should I be doing anything different to manage their health during the COVID-19 outbreak?,"<div>
<p>A: While you should not avoid necessary visits to your veterinarian due to the COVID-19 outbreak, you should exercise reasonable caution just like you would if you were going to any other public place. If you are concerned about your own health or that of your pet when going to the veterinarian, contact their office in advance to discuss any recommended precautions.</p>
<p>
</p></div>"
Q: Is it safe to adopt pets from a shelter or rescue?,"<div>
<p>A: There is no reason to think that any animals, including shelter or rescue pets, in the United States, might be a source of COVID-19. The virus that causes COVID-19 spreads mainly from person to person, typically through respiratory droplets from coughing, sneezing, or talking.</p>
<p>
</p></div>"
Q: Are there going to be any animal drug shortages due to the COVID-19 outbreak?,"<div>
<p>A: The FDA has been and is continuing to closely monitor how the COVID-19 outbreak may impact the animal medical product supply chain.</p>
<p>We have been reaching out to manufacturers as part of our approach to identifying potential disruptions or shortages. We will use all available tools to react swiftly to help mitigate the impact if a potential disruption or shortage is identified.</p>
<p>Learn more on our <a href=""https://www.fda.gov/animal-veterinary/product-safety-information/animal-drug-shortage-information"">Animal Drug Shortage Information page</a>.</p>
<p>
</p></div>"
