Question,Answer
Q: Should food workers who are ill stay home? ,"<div>
<p>A: CDC recommends that employees who have symptoms of acute respiratory illness stay home and not come to work until they are free of fever (100.4° F [37.8° C] or greater using an oral thermometer), signs of a fever, and any other symptoms for at least 24 hours, without the use of fever-reducing or other symptom-altering medicines (e.g. cough suppressants). Employees should notify their supervisor and stay home if they are sick. We recommend that businesses review <a href=""https://www.cdc.gov/coronavirus/2019-ncov/community/guidance-business-response.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fcoronavirus%2F2019-ncov%2Fspecific-groups%2Fguidance-business-response.html"">CDC’s interim guidance for businesses and employers</a> for planning and responding to coronavirus disease.  Also see the FDA’s <a href=""/food/retail-food-industryregulatory-assistance-training/retail-food-protection-employee-health-and-personal-hygiene-handbook"">Retail Food Protection: Employee Health and Personal Hygiene Handbook</a>.</p>
<p>
</p></div>"
"Q: Should food facilities (grocery stores, manufacturing facilities, restaurants, etc.) perform any special cleaning or sanitation procedures for COVID-19?","<div>
<p>A: CDC recommends routine cleaning of all frequently touched surfaces in the workplace, such as workstations, countertops, and doorknobs. Use the cleaning agents that are usually used in these areas and follow the directions on the label. CDC does not recommend any additional disinfection beyond routine cleaning at this time. </p>
<p>View the current <a href=""https://www.epa.gov/pesticide-registration/list-n-disinfectants-use-against-sars-cov-2"">list of products that meet EPA’s criteria for use against SARS-CoV-2</a>, the cause of COVID-19.  </p>
<p>Restaurants and retail food establishments are regulated at the state and local level. State, local, and tribal regulators use the <a href=""/food/retail-food-protection/fda-food-code"">Food Code</a> published by the FDA to develop or update their own food safety rules. Generally, FDA-regulated food manufacturers are required to maintain clean facilities, including, as appropriate, clean and sanitized food contact surfaces, and to have food safety plans in place.   Food safety plans include a hazards analysis and risk-based preventive controls and include procedures for maintaining clean and sanitized facilities and food contact surfaces. See: <a href=""/food/food-safety-modernization-act-fsma/fsma-final-rule-preventive-controls-human-food"">FSMA Final Rule for Preventive Controls for Human Food</a>.</p>
<p>
</p></div>"
Q: Can I get COVID-19 from my pet or other animals?,"<div>
<p>A: There is currently no evidence that animals are a source of COVID-19 infection in the United States.</p>
<p>
</p></div>"
"Q: Is there a test for COVID-19 in pets? If so, has it been approved by FDA?","<div>
<p>A: Certain private, state, and university veterinary diagnostic laboratories have developed diagnostic tests for SARS-CoV-2, the virus that causes COVID-19, for use in dogs and cats. The decision to test pets should be made collaboratively between local, state, or federal public and animal health officials.</p>
<p>Although FDA approval is not required prior to such tests being made commercially available for use in animals, the FDA is aware of at least two private diagnostic laboratories that have developed COVID-19 tests for pets. While FDA has not formally evaluated these tests, the agency has been in contact with these laboratories to gather information about their development and validation.</p>
<p>
</p></div>"
Q: Should I get my pet tested for COVID-19?,"<div>
<p>A: Routine testing of pets for COVID-19 is not recommended at this time. There is currently no evidence that animals are a source of COVID-19 infection in the United States.</p>
<p>The decision to test individual pets in certain circumstances would include consultation between the involved veterinarian and appropriate local, state, and federal public health and animal health officials. At this time, testing for COVID-19 would be focused on situations involving clinically ill pets, who have had close contact with a COVID-19-positive person and where other, more-likely diagnoses have been ruled out with appropriate diagnostic testing. </p>
<p>
</p></div>"
Q: What animal species can get COVID-19?,"<div>
<p>A: We currently don’t fully understand how COVID-19 affects different animal species. We are aware of a very small number of pets, including dogs and cats, outside the United States reported to be infected with the virus that causes COVID-19 after close contact with people with COVID-19. A tiger at a zoo in New York has also tested positive for the virus; it is the first confirmed case of COVID-19 infection in an animal in the United States.  </p>
<p>Recent research shows that ferrets, cats, and golden Syrian hamsters can be experimentally infected with the virus and can spread the infection to other animals of the same species in laboratory settings. Pigs, chickens, and ducks did not become infected or spread the infection based on results from these studies. Data from one study suggest that dogs are not as likely to become infected with the virus as cats and ferrets. These findings were based upon a small number of animals and do not indicate whether animals can spread infection to people.</p>
<p>
</p></div>"
"Q: Since tigers can get infected with the virus that causes COVID-19, should I worry about my pet cat?","<div>
<p>A: The tiger infected with the virus that causes COVID-19 is the first case of its kind. We are still learning about this virus and how it spreads, but it appears it can spread from humans to animals in some situations. FDA is aware of a very small number of pets outside the United States, including cats, reported to be infected with the virus that causes COVID-19 after close contact with people with COVID-19.</p>
<p>At this time, there is no evidence that pets, including cats and dogs, can spread COVID-19 to people. The virus that causes COVID-19 spreads mainly from person to person, typically through respiratory droplets from coughing, sneezing, or talking.</p>
<p>People sick with COVID-19 should isolate themselves from other people and animals, including pets, during their illness until we know more about how this virus affects animals. If you must care for your pet or be around animals while you are sick, wear a cloth face covering and wash your hands before and after you interact with pets.</p>
<p>
</p></div>"
Q: Why are animals being tested when many people can’t get tested?,"<div>
<p>A: In the face of limited resources, animals are only being tested in very rare circumstances when it is necessary. Any decisions to test animals are made on a case-by-case basis by the state veterinarian in close consultation with the animal’s veterinarian. For example, if the pet of a COVID-19 patient has a new, concerning illness with symptoms similar to those of COVID-19, has exposure, and other diseases have been ruled out, the animal’s veterinarian might consult with public health and animal health officials to determine if testing is needed.</p>
<p>While the animal and human tests are generally similar, this type of testing has to be adjusted in each species and for each sample type (blood, feces, nasal swab). The state and university laboratory animal tests were intentionally developed to use alternative testing supplies, where possible, to limit placing additional stresses on human testing resources, while also recognizing the potential importance of animal testing to supporting human and animal health.</p>
<p>
</p></div>"
Q: Can pets carry the virus that causes COVID-19 on their skin or fur?,"<div>
<p>A: Although we know certain bacteria and fungi can be carried on fur and hair, there is no evidence that viruses, including the virus that causes COVID-19, can spread to people from the skin, fur, or hair of pets.</p>
<p>However, because animals can sometimes carry other germs that can make people sick, it’s always a good idea to practice <a href=""https://www.cdc.gov/healthypets/publications/stay-healthy-pets.html"">healthy habits</a> around pets and other animals, including washing hands before and after interacting with them and especially after cleaning up their waste.</p>
<p>
</p></div>"
Q: Are there any approved products that can prevent or treat COVID-19 in animals?,"<div>
<p>A: No. Under the Federal Food, Drug, and Cosmetic (FD&amp;C) Act, “articles intended for use in the diagnosis, cure, mitigation, treatment, or prevention of disease in man or other animals” are drugs. The FDA has not approved any drugs for the diagnosis, cure, mitigation, treatment, or prevention of COVID-19 in animals. The U.S. Department of Agriculture’s (USDA) Animal and Plant Health Inspection Service (APHIS) <a href=""https://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics"">Center for Veterinary Biologics (CVB)</a> regulates veterinary biologics, including vaccines, diagnostic kits, and other products of biological origin. Similarly, APHIS CVB has not licensed any products to treat or prevent COVID-19 in animals.</p>
<p>The FDA has taken action against unapproved products claiming to prevent or cure COVID-19. The public can help safeguard human and animal health by reporting any products claiming to do so to <a href=""mailto:FDA-COVID-19-Fraudulent-Products@fda.hhs.gov"">FDA-COVID-19-Fraudulent-Products@fda.hhs.gov</a> or 1-888-INFO-FDA (1-888-463-6332).</p>
<p>
</p></div>"
"Q: Is it true that animals, like dogs, cats, and cattle, get their own different types of coronavirus?","<div>
<p>A: Yes. Coronaviruses are a large family of viruses. Some coronaviruses like COVID-19 cause cold-like illnesses in people, while others cause illness in certain types of animals, such as cattle, camels, and bats. Some coronaviruses, such as canine and feline coronaviruses, only infect animals and do not infect humans. For example, bovine coronavirus causes diarrhea in young calves, and pregnant cows are routinely vaccinated to help prevent infection in calves. This vaccine is only licensed for use in cattle for bovine coronavirus and is not licensed to prevent COVID-19 in cattle or other species, including humans.</p>
<p>Dogs can get a respiratory coronavirus, which is part of the complex of viruses and bacteria associated with canine infectious respiratory disease, commonly known as “kennel cough.” While this virus is highly contagious among both domestic and wild dogs, it is not transmitted to other animal species or humans.</p>
<p>Most strains of feline enteric coronavirus, a gastrointestinal form, are fought off by a cat’s immune system without causing disease. However, in a small proportion of these cats, the virus can cause feline infectious peritonitis (FIP), a disease that is almost always fatal.</p>
<p>Other species, like horses, turkeys, chickens, and swine, can contract their own species-specific strains of coronavirus but, like the other strains mentioned above, they are not known to be transmissible to humans. More information is available in the American Veterinary Medical Association’s <a href=""https://www.avma.org/sites/default/files/2020-02/AVMA-Coronavirus-Taxonomy-Notes.pdf"">fact sheet about coronaviruses in domestic species</a>.</p>
<p>
</p></div>"
"Q: If my pet previously had a species-specific coronavirus, does that make them more or less likely to get COVID-19?","<div>
<p>A: There are no data to suggest that current or previous infection with another strain of coronavirus would make your pet more or less likely to get COVID-19.</p>
<p>
</p></div>"
"Q: If my pet has been vaccinated for species-specific coronavirus, does that make them more or less likely to get COVID-19?","<div>
<p>A: Species-specific coronavirus vaccines are unlikely to work against this type of coronavirus because it is a new virus that is different from the species-specific strains of coronavirus targeted by the vaccine.</p>
<p>
</p></div>"
Q: My pet has health problems and goes to the vet regularly for treatment. Should I be doing anything different to manage their health during the COVID-19 outbreak?,"<div>
<p>A: While you should not avoid necessary visits to your veterinarian due to the COVID-19 outbreak, you should exercise reasonable caution just like you would if you were going to any other public place. If you are concerned about your own health or that of your pet when going to the veterinarian, contact their office in advance to discuss any recommended precautions.</p>
<p>
</p></div>"
Q: Is it safe to adopt pets from a shelter or rescue?,"<div>
<p>A: There is no reason to think that any animals, including shelter or rescue pets, in the United States, might be a source of COVID-19.</p>
<p>
</p></div>"
Q: Are there going to be any animal drug shortages due to the COVID-19 outbreak?,"<div>
<p>A: The FDA has been and is continuing to closely monitor how the COVID-19 outbreak may impact the animal medical product supply chain.</p>
<p>We have been reaching out to manufacturers as part of our approach to identifying potential disruptions or shortages. We will use all available tools to react swiftly to help mitigate the impact if a potential disruption or shortage is identified.</p>
<p>Learn more on our <a href=""/animal-veterinary/product-safety-information/animal-drug-shortage-information"">Animal Drug Shortage Information page</a>.</p>
<p>
</p></div>"
